"Genes","LundEAC","MSK2020_EAConly","TCGA_2017_only","esca_broad","is_oesophageal","is_predicted_driver","p_value","fdr_p_value","is_significant_fdr"
"PIK3R2",0.03125,0.014,0.025,NA,FALSE,TRUE,0.232092948914514,0.313616637063698,FALSE
"PMS2",0.03125,0.01,0.038,0.007,FALSE,FALSE,0.173172229403485,0.245435828891405,FALSE
"PPP2R1A",0.03125,0.017,0.025,NA,FALSE,TRUE,0.262398496832138,0.347383640474761,FALSE
"PRKAA2",0.03125,NA,0.013,0.02,FALSE,FALSE,0.0689142355764002,0.125510467692284,FALSE
"PRKAR1A",0.03125,0.003,NA,NA,FALSE,FALSE,0.0154597702454103,0.0481883106055152,TRUE
"PROP1",0.03125,NA,NA,0.007,FALSE,FALSE,0.0164888383769535,0.0481883106055152,TRUE
"PYCR1",0.03125,NA,NA,NA,FALSE,FALSE,0.00104118913321937,0.00530443653005002,TRUE
"RAD51C",0.03125,0.003,NA,NA,FALSE,FALSE,0.0154597702454103,0.0481883106055152,TRUE
"RB1",0.03125,0.014,0.025,0.007,FALSE,TRUE,0.521559261796327,0.578317181462398,FALSE
"RET",0.03125,0.031,0.051,0.02,FALSE,TRUE,0.644534790585686,0.686411344776282,FALSE
"RUBCN",0.03125,NA,0.013,0.013,FALSE,FALSE,0.0767869950713675,0.133404134294496,FALSE
"RUNX1",0.03125,0.014,NA,0.026,FALSE,TRUE,0.39033657742783,0.448649053933817,FALSE
